Date	Open	High	Low	Close	Adj Close	Volume	Location	Index	Open/Close Difference	High/Low Difference
2/10/20	$13,904	$13,984.55	$13,899.53	$13,984.48	$13,984.48047	3450350000	USA	NYSE	($80.46)	$85.02
2/11/20	$13,984	$14,100.27	$13,984.48	$14,054.08	$14,054.08008	3760550000	USA	NYSE	($69.60)	$115.79
2/12/20	$14,118	$14,148.24	$14,108.52	$14,136.98	$14,136.98047	3926380000	USA	NYSE	($19.15)	$39.72
2/13/20	$14,069	$14,132.88	$14,049.13	$14,099.04	$14,099.04004	3498240000	USA	NYSE	($29.79)	$83.75
2/14/20	$14,105	$14,110.19	$14,046.60	$14,097.34	$14,097.33984	3398040000	USA	NYSE	$7.43	$63.59
2/18/20	$14,048	$14,072.69	$13,990.70	$14,039.01	$14,039.00977	3746720000	USA	NYSE	$8.90	$81.99
2/19/20	$14,078	$14,115.95	$14,066.24	$14,087.13	$14,087.12988	3600150000	USA	NYSE	($9.62)	$49.71
2/20/20	$14,061	$14,104.92	$13,955.75	$14,061.48	$14,061.48047	4007320000	USA	NYSE	($0.44)	$149.17
2/21/20	$14,015	$14,014.63	$13,931.13	$13,975.78	$13,975.78027	3899270000	USA	NYSE	$38.85	$83.50
2/24/20	$13,654	$13,654.00	$13,493.68	$13,534.12	$13,534.12012	4842960000	USA	NYSE	$119.88	$160.32
2/25/20	$13,570	$13,582.74	$13,110.09	$13,143.73	$13,143.73047	5591510000	USA	NYSE	$426.48	$472.65
2/26/20	$13,194	$13,323.34	$13,041.94	$13,046.62	$13,046.62012	5478110000	USA	NYSE	$147.69	$281.40
2/27/20	$12,841	$12,977.18	$12,544.99	$12,547.25	$12,547.25	7058840000	USA	NYSE	$294.15	$432.19
2/28/20	$12,547	$12,547.25	$12,024.45	$12,380.97	$12,380.96973	8563850000	USA	NYSE	$166.28	$522.80
3/2/20	$12,441	$12,830.13	$12,316.18	$12,827.99	$12,827.99023	6376400000	USA	NYSE	($386.56)	$513.95
3/3/20	$12,845	$13,015.66	$12,432.52	$12,542.74	$12,542.74023	6355940000	USA	NYSE	$302.32	$583.14
3/4/20	$12,697	$13,011.45	$12,673.90	$13,009.96	$13,009.95996	5035480000	USA	NYSE	($313.35)	$337.55
3/5/20	$12,741	$12,786.64	$12,489.77	$12,593.03	$12,593.03027	5575550000	USA	NYSE	$147.83	$296.87
3/6/20	$12,593	$12,593.03	$12,106.74	$12,352.03	$12,352.03027	6552140000	USA	NYSE	$241.00	$486.29
3/9/20	$11,749	$11,748.61	$11,240.77	$11,298.43	$11,298.42969	8423050000	USA	NYSE	$450.18	$507.84
3/10/20	$11,635	$11,794.01	$11,246.52	$11,793.27	$11,793.26953	7635960000	USA	NYSE	($158.05)	$547.49
3/11/20	$11,524	$11,523.94	$11,053.79	$11,177.29	$11,177.29004	7374110000	USA	NYSE	$346.65	$470.15
3/12/20	$10,467	$10,646.92	$10,054.47	$10,060.76	$10,060.75977	8829380000	USA	NYSE	$405.94	$592.45
3/13/20	$10,445	$10,851.75	$10,060.35	$10,851.74	$10,851.74023	8258670000	USA	NYSE	($406.30)	$791.40
3/16/20	$10,852	$10,851.98	$9,559.23	$9,567.53	$9,567.530273	7781540000	USA	NYSE	$1,284.45	$1,292.75
3/17/20	$9,726	$10,154.16	$9,484.65	$10,063.36	$10,063.36035	8358500000	USA	NYSE	($337.18)	$669.51
3/18/20	$9,562	$9,666.57	$8,953.60	$9,384.60	$9,384.599609	8755780000	USA	NYSE	$177.89	$712.97
3/19/20	$9,314	$9,622.21	$9,048.36	$9,461.31	$9,461.30957	7946710000	USA	NYSE	($147.55)	$573.85
3/20/20	$9,578	$9,676.94	$9,108.15	$9,133.16	$9,133.160156	9044690000	USA	NYSE	$444.74	$568.79
3/23/20	$9,015	$9,053.49	$8,664.94	$8,777.38	$8,777.379883	7402180000	USA	NYSE	$237.20	$388.55
3/24/20	$9,277	$9,672.01	$9,276.64	$9,658.32	$9,658.320313	7547350000	USA	NYSE	($381.68)	$395.37
3/25/20	$9,750	$10,303.90	$9,591.74	$9,961.38	$9,961.379883	8285670000	USA	NYSE	($211.58)	$712.16
3/26/20	$10,060	$10,556.90	$10,060.48	$10,536.28	$10,536.28027	7753160000	USA	NYSE	($475.80)	$496.42
3/27/20	$10,136	$10,449.22	$10,064.50	$10,187.21	$10,187.20996	6194330000	USA	NYSE	($51.48)	$384.72
3/30/20	$10,238	$10,455.77	$10,131.60	$10,434.74	$10,434.74023	5746220000	USA	NYSE	($196.61)	$324.17
3/31/20	$10,388	$10,499.80	$10,237.22	$10,301.87	$10,301.87012	6568290000	USA	NYSE	$85.86	$262.58
4/1/20	$9,917	$10,029.00	$9,766.80	$9,844.85	$9,844.849609	5947900000	USA	NYSE	$72.46	$262.20
4/2/20	$9,815	$10,142.01	$9,813.51	$10,062.37	$10,062.37012	6454990000	USA	NYSE	($247.10)	$328.50
4/3/20	$10,012	$10,075.91	$9,774.24	$9,880.63	$9,880.629883	6087190000	USA	NYSE	$131.84	$301.67
4/6/20	$10,264	$10,560.73	$10,233.04	$10,515.24	$10,515.24023	6391860000	USA	NYSE	($251.11)	$327.69
4/7/20	$10,894	$10,912.56	$10,534.74	$10,537.04	$10,537.04004	7040720000	USA	NYSE	$357.16	$377.82
4/8/20	$10,642	$10,939.97	$10,538.65	$10,902.59	$10,902.58984	5856370000	USA	NYSE	($261.08)	$401.32
4/9/20	$11,070	$11,272.48	$11,019.82	$11,136.61	$11,136.61035	7880140000	USA	NYSE	($66.29)	$252.66
4/13/20	$11,137	$11,136.61	$10,817.15	$10,949.53	$10,949.53027	5274310000	USA	NYSE	$187.08	$319.46
4/14/20	$11,151	$11,241.23	$11,064.63	$11,172.20	$11,172.2002	5567400000	USA	NYSE	($21.04)	$176.60
1/2/20	$9,039	$9,093.43	$9,010.89	$9,092.19	$9,092.19043	2848370000	USA	NASDAQ	($52.73)	$82.54
1/3/20	$8,976	$9,065.76	$8,976.43	$9,020.77	$9,020.769531	2567400000	USA	NASDAQ	($44.34)	$89.33
1/6/20	$8,944	$9,072.41	$8,943.50	$9,071.47	$9,071.469727	2788120000	USA	NASDAQ	($127.97)	$128.91
1/7/20	$9,077	$9,091.93	$9,042.55	$9,068.58	$9,068.580078	2352850000	USA	NASDAQ	$8.06	$49.38
1/8/20	$9,068	$9,168.89	$9,059.38	$9,129.24	$9,129.240234	2464090000	USA	NASDAQ	($61.21)	$109.51
1/9/20	$9,202	$9,215.95	$9,158.50	$9,203.43	$9,203.429688	2534700000	USA	NASDAQ	($1.16)	$57.45
1/10/20	$9,233	$9,235.20	$9,164.66	$9,178.86	$9,178.860352	2378990000	USA	NASDAQ	$54.09	$70.54
1/13/20	$9,214	$9,274.49	$9,193.06	$9,273.93	$9,273.929688	2530270000	USA	NASDAQ	($60.21)	$81.43
1/14/20	$9,271	$9,298.33	$9,226.49	$9,251.33	$9,251.330078	2542170000	USA	NASDAQ	$19.28	$71.84
1/15/20	$9,254	$9,298.82	$9,231.14	$9,258.70	$9,258.700195	2435650000	USA	NASDAQ	($4.94)	$67.68
1/16/20	$9,313	$9,357.92	$9,301.32	$9,357.13	$9,357.129883	2301400000	USA	NASDAQ	($43.68)	$56.60
1/17/20	$9,392	$9,393.48	$9,346.81	$9,388.94	$9,388.94043	2522670000	USA	NASDAQ	$3.43	$46.67
1/21/20	$9,361	$9,397.58	$9,350.20	$9,370.81	$9,370.80957	2684540000	USA	NASDAQ	($9.74)	$47.38
1/22/20	$9,414	$9,439.29	$9,375.13	$9,383.77	$9,383.769531	2449390000	USA	NASDAQ	$29.84	$64.16
1/23/20	$9,378	$9,409.20	$9,334.13	$9,402.48	$9,402.480469	2460050000	USA	NASDAQ	($24.76)	$75.07
1/24/20	$9,446	$9,451.43	$9,273.23	$9,314.91	$9,314.910156	2611710000	USA	NASDAQ	$131.30	$178.20
1/27/20	$9,092	$9,185.45	$9,088.04	$9,139.31	$9,139.30957	2583330000	USA	NASDAQ	($46.85)	$97.41
1/28/20	$9,202	$9,288.87	$9,182.33	$9,269.68	$9,269.679688	2157830000	USA	NASDAQ	($67.86)	$106.54
1/29/20	$9,318	$9,329.12	$9,249.04	$9,275.16	$9,275.160156	2223480000	USA	NASDAQ	$43.10	$80.08
1/30/20	$9,211	$9,303.00	$9,185.18	$9,298.93	$9,298.929688	2333500000	USA	NASDAQ	($87.78)	$117.82
1/31/20	$9,324	$9,324.80	$9,123.22	$9,150.94	$9,150.94043	2685840000	USA	NASDAQ	$173.39	$201.58
2/3/20	$9,191	$9,299.85	$9,188.55	$9,273.40	$9,273.400391	2420510000	USA	NASDAQ	($82.68)	$111.30
2/4/20	$9,398	$9,485.38	$9,374.05	$9,467.97	$9,467.969727	2445420000	USA	NASDAQ	($69.58)	$111.33
2/5/20	$9,574	$9,574.94	$9,454.93	$9,508.68	$9,508.679688	2462470000	USA	NASDAQ	$65.42	$120.01
2/6/20	$9,541	$9,575.66	$9,505.68	$9,572.15	$9,572.150391	2267300000	USA	NASDAQ	($31.17)	$69.98
2/7/20	$9,527	$9,570.09	$9,496.53	$9,520.51	$9,520.509766	2238670000	USA	NASDAQ	$6.13	$73.56
2/10/20	$9,494	$9,628.66	$9,493.63	$9,628.39	$9,628.389648	2179310000	USA	NASDAQ	($134.76)	$135.03
2/11/20	$9,681	$9,714.74	$9,617.21	$9,638.94	$9,638.94043	2423670000	USA	NASDAQ	$41.95	$97.53
2/12/20	$9,689	$9,728.77	$9,666.69	$9,725.96	$9,725.959961	2355000000	USA	NASDAQ	($37.36)	$62.08
2/13/20	$9,657	$9,748.32	$9,650.02	$9,711.97	$9,711.969727	2239270000	USA	NASDAQ	($54.93)	$98.30
2/14/20	$9,729	$9,746.36	$9,693.05	$9,731.18	$9,731.179688	2222240000	USA	NASDAQ	($2.28)	$53.31
2/18/20	$9,679	$9,747.68	$9,675.80	$9,732.74	$9,732.740234	2273460000	USA	NASDAQ	($53.70)	$71.88
2/19/20	$9,783	$9,838.37	$9,777.10	$9,817.18	$9,817.179688	2462530000	USA	NASDAQ	($34.37)	$61.27
2/20/20	$9,799	$9,820.86	$9,636.94	$9,750.97	$9,750.969727	2735610000	USA	NASDAQ	$48.23	$183.92
2/21/20	$9,708	$9,715.95	$9,542.33	$9,576.59	$9,576.589844	2743010000	USA	NASDAQ	$131.42	$173.62
2/24/20	$9,188	$9,322.88	$9,166.01	$9,221.28	$9,221.280273	3177000000	USA	NASDAQ	($32.84)	$156.87
2/25/20	$9,301	$9,315.26	$8,940.49	$8,965.61	$8,965.610352	3583400000	USA	NASDAQ	$335.59	$374.77
2/26/20	$9,012	$9,148.32	$8,927.80	$8,980.78	$8,980.780273	3567830000	USA	NASDAQ	$30.77	$220.52
2/27/20	$8,744	$8,904.11	$8,562.05	$8,566.48	$8,566.480469	4536080000	USA	NASDAQ	$177.55	$342.06
2/28/20	$8,270	$8,591.82	$8,264.16	$8,567.37	$8,567.370117	5301170000	USA	NASDAQ	($297.63)	$327.66
3/2/20	$8,667	$8,952.81	$8,543.35	$8,952.17	$8,952.169922	4232760000	USA	NASDAQ	($285.03)	$409.46
3/3/20	$8,965	$9,070.32	$8,602.89	$8,684.09	$8,684.089844	4336700000	USA	NASDAQ	$281.01	$467.43
3/4/20	$8,834	$9,019.96	$8,757.66	$9,018.09	$9,018.089844	3602870000	USA	NASDAQ	($183.99)	$262.30
3/5/20	$8,790	$8,921.08	$8,677.39	$8,738.59	$8,738.589844	3748090000	USA	NASDAQ	$51.50	$243.69
3/6/20	$8,469	$8,612.36	$8,375.13	$8,575.62	$8,575.620117	4279850000	USA	NASDAQ	($106.60)	$237.23
3/9/20	$7,958	$8,243.31	$7,943.16	$7,950.68	$7,950.680176	4530350000	USA	NASDAQ	$7.25	$300.15
3/10/20	$8,220	$8,347.40	$7,930.43	$8,344.25	$8,344.25	4431930000	USA	NASDAQ	($124.49)	$416.97
3/11/20	$8,136	$8,181.36	$7,850.95	$7,952.05	$7,952.049805	4273890000	USA	NASDAQ	$184.20	$330.41
3/12/20	$7,399	$7,712.33	$7,194.67	$7,201.80	$7,201.799805	5066530000	USA	NASDAQ	$196.78	$517.66
3/13/20	$7,610	$7,875.93	$7,219.09	$7,874.88	$7,874.879883	4685890000	USA	NASDAQ	($264.49)	$656.84
3/16/20	$7,393	$7,422.20	$6,882.86	$6,904.59	$6,904.589844	4594360000	USA	NASDAQ	$488.14	$539.34
3/17/20	$7,072	$7,406.23	$6,828.91	$7,334.78	$7,334.779785	4900000000	USA	NASDAQ	($262.78)	$577.32
3/18/20	$6,902	$7,182.83	$6,686.36	$6,989.84	$6,989.839844	4890820000	USA	NASDAQ	($87.52)	$496.47
3/19/20	$6,996	$7,341.38	$6,858.38	$7,150.58	$7,150.580078	4762170000	USA	NASDAQ	($154.13)	$483.00
3/20/20	$7,248	$7,354.44	$6,854.67	$6,879.52	$6,879.52002	5239940000	USA	NASDAQ	$368.55	$499.77
3/23/20	$6,847	$6,984.94	$6,631.42	$6,860.67	$6,860.669922	4330610000	USA	NASDAQ	($13.39)	$353.52
3/24/20	$7,196	$7,418.37	$7,169.86	$7,417.86	$7,417.859863	4417380000	USA	NASDAQ	($221.71)	$248.51
3/25/20	$7,421	$7,671.21	$7,276.40	$7,384.30	$7,384.299805	4666440000	USA	NASDAQ	$37.06	$394.81
3/26/20	$7,462	$7,809.83	$7,462.21	$7,797.54	$7,797.540039	3999850000	USA	NASDAQ	($335.33)	$347.62
